,country,type,lat,lon,cap,commissioned,decommissioned
958,France,Coal,47.29,-1.83,580.0,1899.0,
1095,France,Coal,48.78,2.39,0.0,,2015.0
1096,France,Coal,48.78,2.39,0.0,,2015.0
938,France,Coal,49.12,6.71,285.0,1972.0,2015.0
1015,France,Coal,49.12,6.71,0.0,1981.0,
1016,France,Coal,49.12,6.71,115.0,1952.0,2015.0
951,France,Coal,49.16,6.15,0.0,1971.0,2015.0
1097,France,Coal,49.16,6.15,0.0,1971.0,2015.0
952,France,Coal,49.49,0.13,580.0,1983.0,
959,France,Coal,50.28,3.31,0.0,1970.0,2016.0
512,Germany,Coal,48.189,11.596,333.0,1991.0,
463,Germany,Coal,48.456,11.801,472.0,1986.0,
543,Germany,Coal,48.718,9.373,595.0,1997.0,
542,Germany,Coal,48.718,9.373,595.0,1985.0,
547,Germany,Coal,49.015,8.304,1347.0,2014.0,
546,Germany,Coal,49.015,8.304,1347.0,1985.0,
539,Germany,Coal,49.178,9.209,250.0,,
538,Germany,Coal,49.178,9.209,250.0,,
528,Germany,Coal,49.178,9.209,778.0,1985.0,
430,Germany,Coal,49.25,6.879,390.0,1989.0,
431,Germany,Coal,49.25,6.879,390.0,1982.0,
410,Germany,Coal,49.293,6.771,283.0,,
426,Germany,Coal,49.293,6.771,106.0,,
427,Germany,Coal,49.336,7.035,656.0,1976.0,
448,Germany,Coal,49.364,7.237,726.0,1983.0,
5466,Germany,Coal,49.365,7.235,726.0,1983.0,
548,Germany,Coal,49.445,8.5,244.0,,
344,Germany,Coal,49.446,8.49,691.0,1982.0,
536,Germany,Coal,49.446,8.49,1036.0,,
357,Germany,Coal,51.277,7.705,325.0,1982.0,
433,Germany,Coal,51.526,6.72,1095.0,2013.0,
432,Germany,Coal,51.526,6.72,1095.0,1988.0,
437,Germany,Coal,51.551,7.187,740.0,1966.0,
436,Germany,Coal,51.551,7.187,740.0,1989.0,
385,Germany,Coal,51.599,7.009,690.0,1968.0,
384,Germany,Coal,51.599,7.009,690.0,1969.0,
392,Germany,Coal,51.603,6.658,640.0,1971.0,
393,Germany,Coal,51.603,6.658,640.0,1970.0,
428,Germany,Coal,51.603,6.658,1390.0,1982.0,2017.0
429,Germany,Coal,51.603,6.658,1390.0,1985.0,2017.0
389,Germany,Coal,51.616,7.478,473.0,1969.0,
388,Germany,Coal,51.616,7.478,473.0,1962.0,
362,Germany,Coal,51.622,7.628,717.0,1981.0,
449,Germany,Coal,51.629,7.332,1052.0,2020.0,
361,Germany,Coal,51.659,7.838,746.0,1962.0,
390,Germany,Coal,51.682,7.971,780.0,2014.0,
391,Germany,Coal,51.682,7.971,780.0,1969.0,2016.0
513,Germany,Coal,52.19,8.934,703.0,1970.0,2015.0
353,Germany,Coal,52.285,7.739,791.0,1985.0,
500,Germany,Coal,52.316,10.093,690.0,1979.0,
487,Germany,Coal,52.383,8.996,875.0,1987.0,
494,Germany,Coal,52.42,9.648,272.0,1989.0,
495,Germany,Coal,52.42,9.648,272.0,1989.0,
502,Germany,Coal,52.429,10.768,277.0,,
466,Germany,Coal,52.429,10.768,123.0,2000.0,
467,Germany,Coal,52.429,10.768,123.0,2000.0,
501,Germany,Coal,52.429,10.768,277.0,,
320,Germany,Coal,52.531,13.245,160.0,,
321,Germany,Coal,52.531,13.245,160.0,,
280,Germany,Coal,52.54,13.249,564.0,1987.0,
281,Germany,Coal,52.54,13.249,564.0,1988.0,
299,Germany,Coal,52.541,13.349,140.0,1990.0,
302,Germany,Coal,52.541,13.349,140.0,1990.0,
300,Germany,Coal,52.541,13.349,140.0,1990.0,
301,Germany,Coal,52.541,13.349,140.0,1990.0,
468,Germany,Coal,53.059,8.873,119.0,2014.0,
469,Germany,Coal,53.059,8.873,119.0,2014.0,
457,Germany,Coal,53.202,8.516,300.0,1979.0,
456,Germany,Coal,53.202,8.516,300.0,1979.0,2016.0
510,Germany,Coal,53.203,8.518,350.0,1969.0,
254,Germany,Coal,53.49,9.949,1600.0,2014.0,
253,Germany,Coal,53.49,9.949,1600.0,2014.0,
517,Germany,Coal,53.565,8.147,757.0,1976.0,
508,Germany,Coal,53.566,8.146,726.0,2015.0,
279,Germany,Coal,53.568,9.727,250.0,1965.0,
278,Germany,Coal,53.568,9.727,250.0,1969.0,
286,Germany,Coal,54.143,12.133,514.0,1994.0,
475,Germany,Coal,54.339,10.177,323.0,2008.0,
13794,Greece,Coal,40.3941,21.9256,1595.0,1988.0,
13800,Greece,Coal,40.6192,21.6832,600.0,1987.0,
13814,Greece,Coal,40.8122,21.6027,330.0,2003.0,
13821,Greece,Coal,40.4102,21.7856,1250.0,1978.0,
13840,Greece,Coal,37.4174,22.1079,600.0,1979.0,
13860,Greece,Coal,40.4809,21.7274,620.0,,
1267,Ireland,Coal,52.608,-9.423,855.0,1986.0,
1268,Ireland,Coal,52.608,-9.423,855.0,1987.0,
1269,Ireland,Coal,52.608,-9.423,855.0,1985.0,
14015,Hungary,Coal,47.0956,17.5584,60.0,1957.0,
14025,Hungary,Coal,47.7886,20.066,884.0,1983.0,
14026,Hungary,Coal,47.5017,18.2701,250.0,1962.0,
1510,Italy,Coal,39.195,8.4,432.0,1966.0,
1511,Italy,Coal,39.195,8.4,432.0,1986.0,
1431,Italy,Coal,40.643,17.981,2420.0,1991.0,
1432,Italy,Coal,40.643,17.981,2420.0,1992.0,
1433,Italy,Coal,40.643,17.981,2420.0,1992.0,
1434,Italy,Coal,40.643,17.981,2420.0,1993.0,
1789,Italy,Coal,40.852,8.299,534.0,1993.0,
1788,Italy,Coal,40.852,8.299,534.0,1992.0,
1692,Italy,Coal,42.128,11.758,1845.0,2009.0,
1693,Italy,Coal,42.128,11.758,1845.0,2010.0,
1694,Italy,Coal,42.128,11.758,1845.0,2010.0,
1904,Italy,Coal,42.893,12.54,130.0,,
1903,Italy,Coal,42.893,12.54,130.0,,
1799,Italy,Coal,44.111,9.872,520.0,1999.0,
2208,Italy,Coal,44.277,8.431,760.0,1971.0,
2206,Italy,Coal,44.277,8.431,760.0,1971.0,
1308,Italy,Coal,44.404,8.903,0.0,1960.0,2017.0
1726,Italy,Coal,45.431,12.246,871.0,1970.0,
1724,Italy,Coal,45.431,12.246,871.0,1972.0,
1722,Italy,Coal,45.431,12.246,871.0,1970.0,
1723,Italy,Coal,45.431,12.246,871.0,1972.0,
1748,Italy,Coal,45.47,9.184,13.0,,
2010,Italy,Coal,45.797,13.546,315.0,1970.0,
2011,Italy,Coal,45.797,13.546,315.0,1965.0,
5458,Netherlands,Coal,51.432,3.718,408.0,,2015.0
2789,Netherlands,Coal,51.708,4.844,643.0,1980.0,
5454,Netherlands,Coal,51.708,4.844,643.0,,2015.0
2802,Netherlands,Coal,51.944,4.067,1070.0,2014.0,
5456,Netherlands,Coal,51.944,4.067,0.0,1975.0,2017.0
5457,Netherlands,Coal,51.944,4.067,0.0,1975.0,2017.0
2788,Netherlands,Coal,51.945,4.072,731.0,2013.0,
2819,Netherlands,Coal,52.404,4.846,1090.0,2012.0,
2820,Netherlands,Coal,52.404,4.846,1090.0,1994.0,
2798,Netherlands,Coal,53.448,6.859,1580.0,2014.0,
2799,Netherlands,Coal,53.448,6.859,1580.0,2014.0,
5045,Poland,Coal,49.967,19.8,330.0,1961.0,
5046,Poland,Coal,49.967,19.8,330.0,1961.0,
