,country,type,lat,lon,cap,commissioned
715,Croatia,Hydro,47.4387770608,7.581132190650001,0.98,1999.0
716,Croatia,Hydro,47.4428086273,7.593472467180001,0.5,2000.0
717,Croatia,Hydro,47.4428086273,7.593472467180001,0.55,1999.0
718,Croatia,Hydro,47.4890184953,7.607406154339999,1.54,1996.0
719,Croatia,Hydro,47.5257818674,7.621730116889999,1.07,1998.0
720,Croatia,Hydro,47.6194755433,7.57030818507,2.85,1966.0
722,Croatia,Hydro,47.6549559529,7.51941590623,155.0,1983.0
723,Croatia,Hydro,46.5680720667,8.31932651704,388.0,1981.0
725,Croatia,Hydro,46.5753380766,8.33353407357,33.6,2006.0
726,Croatia,Hydro,46.5753380766,8.33353407357,32.2,2007.0
727,Croatia,Hydro,46.6168313032,8.30758712831,44.8,1932.0
729,Croatia,Hydro,46.6156957263,8.30313005616,55.1,1976.0
733,Croatia,Hydro,46.727191088400005,8.33369724917,9.6,1961.0
734,Croatia,Hydro,46.727191088400005,8.33369724917,0.0,1961.0
735,Croatia,Hydro,46.715113414,8.277516982189999,81.6,1974.0
736,Croatia,Hydro,46.715113414,8.277516982189999,5.4,1967.0
737,Croatia,Hydro,46.7085534816,8.22601948865,54.8,1974.0
738,Croatia,Hydro,46.7317817542,8.19665922545,1.65,1950.0
739,Croatia,Hydro,46.7287537496,8.192037807430001,1.0,1946.0
741,Croatia,Hydro,46.719447002200006,8.18458296836,9.7,2010.0
742,Croatia,Hydro,46.7344427309,8.01888764388,0.9,2005.0
743,Croatia,Hydro,46.6264198282,8.05024233615,1.4,1960.0
744,Croatia,Hydro,46.6373283443,7.954504268060001,11.9,2011.0
745,Croatia,Hydro,46.544726438000005,7.89990747896,4.3,1979.0
746,Croatia,Hydro,46.6283781404,7.829977570950001,0.48,1999.0
747,Croatia,Hydro,46.65762105,7.853444546,0.8,1998.0
748,Croatia,Hydro,46.6826409841,7.850107299419999,0.82,1932.0
749,Croatia,Hydro,46.6826409841,7.850107299419999,0.3,1996.0
750,Croatia,Hydro,46.4750989753,7.660123395289999,2.1,2009.0
751,Croatia,Hydro,46.4956334904,7.69159893354,1.09,1958.0
752,Croatia,Hydro,46.4959386063,7.67518789714,1.03,2012.0
753,Croatia,Hydro,46.5427473984,7.659486599510001,19.0,1991.0
754,Croatia,Hydro,46.4491601982,7.561758475539999,0.6,2011.0
756,Croatia,Hydro,46.4961001155,7.57684401786,0.35,2014.0
757,Croatia,Hydro,46.5068875836,7.58273413036,0.9,1996.0
758,Croatia,Hydro,46.6966510403,7.6649514724,18.66,1986.0
762,Croatia,Hydro,46.6669162637,7.46411851171,0.37,1999.0
763,Croatia,Hydro,46.6638985262,7.548263683789999,1.3,1996.0
764,Croatia,Hydro,46.6568821564,7.54811891222,18.0,2005.0
765,Croatia,Hydro,46.6727987868,7.622640840589999,9.0,2000.0
766,Croatia,Hydro,46.761688692700005,7.613387176389999,6.32,1962.0
767,Croatia,Hydro,46.7616779127,7.620324828260001,2.83,1994.0
768,Croatia,Hydro,46.761596737,7.61469587515,0.44,1937.0
769,Croatia,Hydro,46.727704518,7.513333353789999,0.64,1990.0
770,Croatia,Hydro,46.9464934587,7.456759327829999,1.16,1986.0
771,Croatia,Hydro,46.9684429408,7.439421064480001,0.44,1998.0
772,Croatia,Hydro,46.9684429408,7.439421064480001,11.5,1989.0
773,Croatia,Hydro,46.9691475017,7.284493973739999,44.59,1965.0
774,Croatia,Hydro,46.3764261319,7.27799985349,18.0,1966.0
775,Croatia,Hydro,46.42415333180001,7.31831395313,0.9,2014.0
776,Croatia,Hydro,46.3852280895,7.26861425605,0.72,2015.0
777,Croatia,Hydro,46.4732724541,7.165215604,0.45,1996.0
778,Croatia,Hydro,46.487952461800006,7.04831690495,31.0,1972.0
779,Croatia,Hydro,46.5060508043,7.05326712822,8.56,1973.0
780,Croatia,Hydro,46.5351297566,7.087994040189999,2.9,1999.0
781,Croatia,Hydro,46.6085004996,7.269343603310001,0.38,1982.0
782,Croatia,Hydro,46.6118329212,7.17691300027,0.86,2012.0
783,Croatia,Hydro,46.6145855566,7.1617565375100005,5.27,1982.0
784,Croatia,Hydro,46.6098576224,7.109306752719999,25.0,1988.0
785,Croatia,Hydro,46.7179036853,7.1124380045,0.7,1976.0
786,Croatia,Hydro,46.7179036853,7.1124380045,1.7,2005.0
787,Croatia,Hydro,46.7689506687,7.1275763544,60.0,1948.0
788,Croatia,Hydro,46.7987340488,7.16591494327,0.58,1952.0
789,Croatia,Hydro,46.8017059504,7.167340809400001,18.3,1980.0
790,Croatia,Hydro,46.8827252047,7.19421903622,71.0,1964.0
791,Croatia,Hydro,47.0031721765,7.24113567118,15.0,1992.0
792,Croatia,Hydro,47.0378523989,7.271927210710001,15.2,1994.0
793,Croatia,Hydro,47.02149901520001,7.22817749023,8.3,1980.0
795,Croatia,Hydro,47.0596245726,7.17800844643,20.96,2015.0
796,Croatia,Hydro,46.7020995589,6.34993754477,28.0,1988.0
797,Croatia,Hydro,46.7232276398,6.396605086009999,2.35,1970.0
798,Croatia,Hydro,46.73112687689999,6.44499252092,30.0,1955.0
799,Croatia,Hydro,46.7272057233,6.513486622519999,15.5,1950.0
800,Croatia,Hydro,46.7277263163,6.522243023810001,2.6,1988.0
801,Croatia,Hydro,46.72096977819999,6.53229949585,0.77,2013.0
802,Croatia,Hydro,46.9106213602,6.557451412660001,3.9,1988.0
803,Croatia,Hydro,46.953662601400005,6.73186608774,0.68,1956.0
804,Croatia,Hydro,46.9529131011,6.75657368575,1.6,1940.0
805,Croatia,Hydro,46.9623191064,6.79639758751,4.86,1961.0
806,Croatia,Hydro,46.9592586149,6.82888645291,4.4,1972.0
807,Croatia,Hydro,46.9508768262,6.84290644242,0.5,2014.0
809,Croatia,Hydro,47.1896143522,7.183969663839999,0.39,2005.0
810,Croatia,Hydro,47.1710326223,7.249745763510001,3.0,2013.0
811,Croatia,Hydro,47.1683406671,7.25371218143,0.35,2005.0
812,Croatia,Hydro,47.1607076521,7.261651301830001,0.32,2006.0
813,Croatia,Hydro,47.15450871310001,7.266550789249999,3.25,2013.0
814,Croatia,Hydro,47.1191458966,7.2580998136,5.2,1995.0
815,Croatia,Hydro,46.9973291774,7.7219601987,0.42,1999.0
817,Croatia,Hydro,47.1209582677,7.535486913160001,0.5,2002.0
818,Croatia,Hydro,47.1330038883,7.54407602098,0.4,2002.0
819,Croatia,Hydro,47.145864663400005,7.546078738410001,0.38,1949.0
820,Croatia,Hydro,47.1558500995,7.544779979089999,0.5,1995.0
821,Croatia,Hydro,47.1835291625,7.56911004647,0.5,1985.0
822,Croatia,Hydro,47.194846381800005,7.582729415,0.33,1986.0
823,Croatia,Hydro,47.2045650167,7.57919186742,0.86,2001.0
824,Croatia,Hydro,47.2141946615,7.57472874781,0.32,1988.0
825,Croatia,Hydro,47.2291069149,7.58995168618,23.4,2009.0
826,Croatia,Hydro,47.2293726093,7.732298271719999,28.5,2000.0
827,Croatia,Hydro,47.2556656529,7.786740415589999,12.0,1996.0
828,Croatia,Hydro,47.2568389099,7.785426896939999,8.2,1979.0
829,Croatia,Hydro,47.3122915561,7.877702174169999,23.0,2000.0
830,Croatia,Hydro,47.3191178376,7.90315413711,0.42,2006.0
831,Croatia,Hydro,47.3486379073,7.89864659258,0.37,2015.0
832,Croatia,Hydro,47.3694251427,7.97945465498,51.3,2000.0
833,Croatia,Hydro,47.3947817334,8.035874583370001,16.93,1964.0
834,Croatia,Hydro,47.3997456678,8.0498397695,9.2,2014.0
835,Croatia,Hydro,47.3991034678,8.05221688004,1.2,2014.0
836,Croatia,Hydro,47.411796663,8.1147717897,40.0,1993.0
837,Croatia,Hydro,47.411796663,8.1147717897,1.74,2010.0
838,Croatia,Hydro,47.399188528100005,8.17621146751,0.4,1943.0
839,Croatia,Hydro,47.4688460177,8.1698811311,0.65,1953.0
840,Croatia,Hydro,47.4688460177,8.1698811311,51.25,1997.0
841,Croatia,Hydro,47.557805126000005,8.23714123041,6.2,2001.0
842,Croatia,Hydro,47.557805126000005,8.23714123041,19.5,1927.0
843,Croatia,Hydro,47.5945791001,8.225727733480001,42.6,1935.0
844,Croatia,Hydro,46.6205638209,8.56904462908,2.0,1977.0
845,Croatia,Hydro,46.5993455879,8.50229746755,0.9,2008.0
847,Croatia,Hydro,46.6329580099,8.60678648212,2.9,2002.0
848,Croatia,Hydro,46.6673628552,8.5853141019,164.8,1962.0
849,Croatia,Hydro,46.6673628552,8.5853141019,33.26,1961.0
850,Croatia,Hydro,46.667819153500005,8.58467035968,1.62,1969.0
851,Croatia,Hydro,46.7156913962,8.61014697239,58.0,1992.0
852,Croatia,Hydro,46.7667596543,8.67292336359,0.72,1998.0
854,Croatia,Hydro,46.7281811232,8.62036146626,0.31,2007.0
857,Croatia,Hydro,46.7667596543,8.67292336359,120.0,1998.0
858,Croatia,Hydro,46.7667596543,8.67292336359,1.73,1998.0
859,Croatia,Hydro,46.76899447939999,8.66590412922,13.0,1969.0
860,Croatia,Hydro,46.8409637891,8.63214556041,7.0,1997.0
861,Croatia,Hydro,46.8409637891,8.63214556041,1.7,1997.0
862,Croatia,Hydro,46.8652358009,8.81028683203,0.52,1996.0
863,Croatia,Hydro,46.8632677495,8.763541529089999,2.2,2005.0
864,Croatia,Hydro,46.8765292426,8.6633716678,20.8,1967.0
